id,latitude,longitude,property_type,room_type,bedrooms,availability_90,review_scores_rating,suburb,price,has_kitchen,has_Wifi,has_ACHeat,has_parking,has_selfcheckin,is_shared,num_baths,availability_30,availability days in 60 days,accommodates,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_washer
21401321,-37.80297,144.97429,Entire rental unit,Entire home/apt,,7,4.9,Fitzroy,149,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,3,2,4.9,4.95,4.89,4.98,4.83,FALSE
21518110,-37.82852,144.95685,Entire rental unit,Entire home/apt,2,0,,Southbank,300,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,5,,,,,,TRUE
21401501,-37.88002,145.08836,Other,Private room,,0,,Malvern East,164,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,6,,,,,,TRUE
21519415,-37.85091,144.66793,Private room in home,Private room,,0,,Tarneit,80,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,,,,,,TRUE
21402430,-37.81558,144.95308,Entire rental unit,Entire home/apt,2,44,4.64,Melbourne,153,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,18,18,4,4.63,4.73,4.62,4.74,4.55,TRUE
21519782,-37.81174,144.95916,Entire rental unit,Entire home/apt,1,6,4.77,Melbourne,109,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,6,6,3,4.77,4.89,4.8,4.97,4.77,FALSE
21411669,-37.81702,144.99626,Private room in rental unit,Private room,,89,4.1,Richmond,160,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,29,59,2,4.2,4.35,4.4,4.5,4.3,TRUE
21523240,-37.80155,144.97978,Private room in rental unit,Private room,,10,4.97,Fitzroy,115,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,10,10,2,4.91,4.94,4.97,5,4.97,TRUE
21411676,-37.8222,144.9519,Entire condo,Entire home/apt,1,12,4.5,Docklands,170,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,5,4.5,4.5,4.5,4.5,4,FALSE
21524354,-37.86857,144.83659,Other,Shared room,,0,,Altona,87,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,,,,,,FALSE
21531181,-37.7611,144.96407,Other,Entire home/apt,1,62,4.86,Brunswick,79,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,5,32,2,4.94,4.94,4.98,4.92,4.85,FALSE
