from,to,frequency
come,experience,1
parking,right,1
come,good,1
parking,walk,1
property,recommend,0
night,property,0
night,tram,0
night,walk,0
location,property,0
property,space,0
night,right,0
need,property,0
space,walk,0
provide,right,0
parking,provide,0
need,walk,0
provide,walk,0
right,time,0
parking,recommend,0
like,right,0
nice,parking,0
recommend,tram,0
provide,space,0
melbourne,space,0
melbourne,right,0
property,tram,0
like,walk,0
like,tram,0
recommend,right,0
time,tram,0
communication,parking,0
home,walk,0
come,parking,0
city,space,0
city,provide,0
city,property,0
city,parking,0
city,night,0
city,melbourne,0
city,like,0
city,home,0
city,helpful,0
city,experience,0
away,walk,0
away,tram,0
away,space,0
away,property,0
away,parking,0
close,come,0
close,comfortable,0
close,easy,0
close,right,0
come,home,0
come,helpful,0
come,easy,0
come,communication,0
come,comfortable,0
close,space,0
close,provide,0
close,experience,0
close,property,0
close,parking,0
close,night,0
close,melbourne,0
close,kitchen,0
close,helpful,0
away,melbourne,0
away,kitchen,0
away,helpful,0
apartment,easy,0
area,comfortable,0
area,come,0
area,close,0
area,city,0
area,away,0
apartment,home,0
apartment,close,0
area,definitely,0
airbnb,tram,0
airbnb,right,0
airbnb,helpful,0
airbnb,easy,0
airbnb,comfortable,0
airbnb,city,0
area,communication,0
area,experience,0
away,easy,0
area,time,0
away,definitely,0
away,comfortable,0
away,come,0
away,close,0
away,city,0
area,walk,0
area,property,0
area,great,0
area,night,0
area,nice,0
area,like,0
area,house,0
area,home,0
area,helpful,0
come,night,0
come,property,0
home,tram,0
come,right,0
helpful,parking,0
helpful,night,0
helpful,melbourne,0
helpful,like,0
helpful,house,0
helpful,home,0
great,provide,0
good,walk,0
good,property,0
experience,tram,0
experience,right,0
experience,nice,0
easy,time,0
easy,space,0
easy,room,0
helpful,place,0
helpful,property,0
helpful,provide,0
home,night,0
home,space,0
home,right,0
home,recommend,0
home,provide,0
home,property,0
home,parking,0
home,nice,0
helpful,right,0
home,need,0
home,melbourne,0
helpful,walk,0
helpful,tram,0
helpful,time,0
helpful,room,0
easy,recommend,0
easy,property,0
easy,parking,0
comfortable,need,0
comfortable,time,0
comfortable,space,0
comfortable,recommend,0
comfortable,provide,0
comfortable,property,0
comfortable,parking,0
comfortable,melbourne,0
communication,definitely,0
comfortable,home,0
comfortable,good,0
comfortable,experience,0
comfortable,communication,0
come,tram,0
come,space,0
comfortable,walk,0
communication,kitchen,0
easy,need,0
definitely,provide,0
easy,home,0
easy,helpful,0
easy,experience,0
definitely,tram,0
definitely,space,0
definitely,right,0
definitely,parking,0
communication,melbourne,0
definitely,melbourne,0
definitely,helpful,0
definitely,easy,0
communication,tram,0
communication,space,0
communication,property,0
tram,walk,0
